Enzyme,Description,Substrate,Km(mM),Vmax (μmol/min),Citations
Aspartate aminotransferase,Enzyme that catalyzes the conversion of aspartate and alpha-ketoglutarate to oxaloacetate and glutamate.,Oxaloacetate,0.1,0.054,"Martins, M. L. L.; De Freitas Barbosa, M. P.; De Varennes E Mendonca, A. P. A. Characterization of Aspartate Aminotransferase Isoenzymes from Leaves of Lupinus Albus L. Cv Estoril. BMB Rep. 2002, 35 (2), 220–227. https://doi.org/10.5483/BMBRep.2002.35.2.220."
Aspartate aminotransferase,Enzyme that catalyzes the conversion of aspartate and alpha-ketoglutarate to oxaloacetate and glutamate.,Glutamate,37,0.149,"Martins, M. L. L.; De Freitas Barbosa, M. P.; De Varennes E Mendonca, A. P. A. Characterization of Aspartate Aminotransferase Isoenzymes from Leaves of Lupinus Albus L. Cv Estoril. BMB Rep. 2002, 35 (2), 220–227. https://doi.org/10.5483/BMBRep.2002.35.2.220."
Threonine deaminase,Enzyme that catalyzes the conversion of L-threonine into alpha-ketobutyrate and ammonia.,Threonine,3.6,0.878,"Hatfield, G., & Umbarger, H. (1970). Threonine Deaminase from Bacillus Subtilis. https://www.jbc.org/article/S0021-9258(19)77154-3/pdf"
Pyruvate carboxylase,Enzyme that catalyzes the ATP-dependent carboxylation of pyruvate to oxaloacetate,Pyruvate,0.28,24.4,"Islam, M., Sueda, S., & Kondo, H. (2005). Constuction of new forms of pyruvate carboxylase to assess the allosteric regulation by acetyl-CoA. https://doi.org/10.1093/protein/gzi011"
Pyruvate carboxylase,Enzyme that catalyzes the ATP-dependent carboxylation of pyruvate to oxaloacetate,ATP,0.64,36,"Islam, M., Sueda, S., & Kondo, H. (2005). Constuction of new forms of pyruvate carboxylase to assess the allosteric regulation by acetyl-CoA. https://doi.org/10.1093/protein/gzi011"
Pyruvate carboxylase,Enzyme that catalyzes the ATP-dependent carboxylation of pyruvate to oxaloacetate,HCO3-,22.1,29,"Islam, M., Sueda, S., & Kondo, H. (2005). Constuction of new forms of pyruvate carboxylase to assess the allosteric regulation by acetyl-CoA. https://doi.org/10.1093/protein/gzi011"
Penicillinase,"Enzyme that hydrolyzes the cyclic amide bond in the beta-lactam ring of benzylpenicillin, which inactivates the antibiotic",Benzylpenicillin,0.0025,40,"Pollock, M. R. Purification and Properties of Penicillinases from Two Strains of Bacillus Licheniformis: A Chemical, Physicochemical and Physiological Comparison. Biochem. J. 1965, 94 (3), 666–675."
Lysozyme,"Enzyme with antimicrobial properties. Cleaves the peptidoglycan component of bacterial cell walls, which leads to bacterial cell death",Hexa-N-acetylglucoasmine,4.8,0.193,Activity and stability analysis of covalent conjugated lysozyme-single walled carbon nanotubes: potential biomedical and industrial applications - RSC Advances (RSC Publishing) https://pubs-rsc-org.libproxy1.nus.edu.sg/en/content/articlelanding/2017/RA/C7RA07189B (accessed 2022 -04 -01).
Lactate dehydrogenase,Lactate dehydrogenase (LDH) is an enzyme required during the process of turning sugar into energy for your cells.,Lactate,12.4,0.27,"Javed, M. H.; Azimuddin, S. M.; Hussain, A. N.; Ahmed, A.; Ishaq, M. Purification and Characterization of Lactate Dehydrogenase from Varanus Liver. Exp. Mol. Med. 1997, 29 (1), 25–30. https://doi.org/10.1038/emm.1997.4."
Lactate dehydrogenase,Lactate dehydrogenase (LDH) is an enzyme required during the process of turning sugar into energy for your cells.,Pyruvate,0.17,0.56,"Javed, M. H.; Azimuddin, S. M.; Hussain, A. N.; Ahmed, A.; Ishaq, M. Purification and Characterization of Lactate Dehydrogenase from Varanus Liver. Exp. Mol. Med. 1997, 29 (1), 25–30. https://doi.org/10.1038/emm.1997.4."
Lactate dehydrogenase,Lactate dehydrogenase (LDH) is an enzyme required during the process of turning sugar into energy for your cells.,NADH,0.02,0.33,"Javed, M. H.; Azimuddin, S. M.; Hussain, A. N.; Ahmed, A.; Ishaq, M. Purification and Characterization of Lactate Dehydrogenase from Varanus Liver. Exp. Mol. Med. 1997, 29 (1), 25–30. https://doi.org/10.1038/emm.1997.4."
Lactate dehydrogenase,Lactate dehydrogenase (LDH) is an enzyme required during the process of turning sugar into energy for your cells.,NAD+,0.38,0.165,"Javed, M. H.; Azimuddin, S. M.; Hussain, A. N.; Ahmed, A.; Ishaq, M. Purification and Characterization of Lactate Dehydrogenase from Varanus Liver. Exp. Mol. Med. 1997, 29 (1), 25–30. https://doi.org/10.1038/emm.1997.4."
